Mes,Precio ?/m2,Variaci¢n mensual %,Variaci¢n trimestral %,Variaci¢n anual %,Precio Venta ?/m2,Variaci¢n % venta mensual,Variaci¢n % venta trimestral,Variaci¢n % venta anual
Noviembre 2024,13.3,1.5,0.9,11.1,3712,2,4.4,17.1
Octubre 2024,13.0,0.1,-0.7,10.2,3638,1.9,3.8,15.4
Septiembre 2024,13.0,-0.7,-2.4,10.2,3569,0.4,3.7,14.1
Agosto 2024,13.1,0,-0.5,9.8,3554,1.4,4.4,13.2
Julio 2024,13.1,-1.6,1.3,10.4,3504,1.8,4.1,11.5
Junio 2024,13.4,1.1,5,13.2,344,1,3.3,9.5
Mayo 2024,13.2,1.8,5,13.4,3406,1.1,3.4,9
Abril 2024,13.0,2,4.9,13,3367,1.1,3.7,7.4
Marzo 2024,12.7,1.1,4.7,12.6,3331,1.2,3.8,7.1
Febrero 2024,12.6,1.7,5.5,11.9,3292,1.4,3.8,6.8
Enero 2024,12.4,1.8,4.5,10.8,3247,1.2,3,6.1
Diciembre 2023,12.1,1.9,2.7,10.1,3208,1.2,2.5,4.8
Noviembre 2023,11.9,0.7,-0.3,9.2,317,0.6,1,3.1
Octubre 2023,11.8,0,-0.6,9.4,3152,0.7,0.3,3.1
Septiembre 2023,11.8,-1.1,0.3,9.3,3129,-0.3,-0.4,2.8
Agosto 2023,12.0,0.5,2.7,9.5,3139,-0.1,0.5,2.9
Julio 2023,11.9,0.9,3.7,9.3,3143,0,0.3,3.7
Junio 2023,11.8,1.3,4.5,9.2,3142,0.6,1,4.3
Mayo 2023,11.6,1.4,3.6,9.4,3124,-0.3,1.3,4.3
Abril 2023,11.5,1.7,2.9,8.9,3134,0.7,2.4,5.5
Marzo 2023,11.3,0.5,2.4,7.9,3111,0.9,1.6,5.3
Febrero 2023,11.2,0.7,2.9,8,3083,0.7,0.3,4.6
Enero 2023,11.2,1.2,3.2,7.8,3061,0,0.1,4.7
Diciembre 2022,11.0,1,1.9,7.2,3062,-0.4,0.6,5.7
Noviembre 2022,10.9,1,0,6.2,3075,0.6,0.8,6.9
Octubre 2022,10.8,-0.1,-0.7,5.5,3057,0.5,0.8,6.5
Septiembre 2022,10.8,-0.9,0.1,5.3,3043,-0.3,1,5.7
Agosto 2022,10.9,0.3,2.6,5,3052,0.7,1.9,5.8
Julio 2022,10.9,0.8,3.3,4.3,3032,0.6,2,4.8
Junio 2022,10.8,1.5,3.3,3.4,3013,0.6,2,4.4
Mayo 2022,10.6,1,2.3,1.6,2996,0.8,1.6,4.9
Abril 2022,10.5,0.8,1.9,0.2,2971,0.6,1.7,5.1
Marzo 2022,10.5,0.5,1.7,-0.4,2954,0.2,1.9,4.6
Febrero 2022,10.4,0.6,1.3,-0.9,2948,0.9,2.4,5
Enero 2022,10.4,0.6,1,-2.2,2922,0.9,1.8,4.9
Diciembre 2021,10.3,0,0.1,-3.8,2897,0.7,0.6,4.4
Noviembre 2021,10.3,0.3,-1.2,-4.7,2878,0.3,-0.2,4.4
Octubre 2021,10.3,-0.2,-1.8,-4.9,2871,-0.3,-0.8,5.3
Septiembre 2021,10.3,-1.2,-1.7,-5,288,-0.1,-0.2,6.1
Agosto 2021,10.4,-0.4,-0.7,-4.7,2883,-0.4,1,6
Julio 2021,10.4,-0.1,-0.7,-4.2,2894,0.3,2.4,6.4
Junio 2021,10.5,-0.2,-0.4,-4,2885,1,2.2,7.1
Mayo 2021,10.5,-0.4,-0.3,-3.1,2855,1,1.7,5.1
Abril 2021,10.5,0.1,-0.6,-2,2826,0.1,1.4,3.8
Marzo 2021,10.5,0,-1.8,-1,2823,0.5,1.8,3.7
Febrero 2021,10.5,-0.7,-2.5,0.2,2808,0.8,1.8,3.4
Enero 2021,10.6,-1.1,-1.9,1.9,2786,0.4,2.2,2.8
Diciembre 2020,10.7,-0.8,-1.2,3.1,2774,0.6,2.2,1.9
Noviembre 2020,10.8,0,-1.2,4.4,2757,1.1,1.4,1.1
Octubre 2020,10.8,-0.4,-1.1,5.3,2727,0.5,0.3,0.6
Septiembre 2020,10.8,-0.8,-0.7,5.6,2714,-0.2,0.7,0.5
Agosto 2020,10.9,0.1,0.9,5.3,272,0,0.2,-0.5
Julio 2020,10.9,0.1,1.6,5.3,2719,0.9,-0.1,-0.8
Junio 2020,10.9,0.7,2.7,4.9,2695,-0.8,-1,-1.4
Mayo 2020,10.8,0.8,3.1,4.8,2715,-0.2,0,-0.7
Abril 2020,10.7,1.2,3.3,5.1,2721,0,0.4,-0.4
Marzo 2020,10.6,1.1,2.3,5,2723,0.3,0,0
Febrero 2020,10.5,1,1.5,4.9,2715,0.2,-0.4,0.4
Enero 2020,10.4,0.1,1.4,4.2,271,-0.5,0,1.2
Diciembre 2019,10.4,0.4,1.2,3.9,2723,-0.1,0.8,2.5
Noviembre 2019,10.3,0.9,-0.3,3.7,2726,0.6,-0.3,3.5
Octubre 2019,10.2,-0.1,-1.1,3.6,2711,0.4,-1.1,5.2
Septiembre 2019,10.3,-1.1,-1.3,3.6,2701,-1.2,-1.2,6.1
Agosto 2019,10.4,0,0.4,3.9,2734,-0.3,-0.1,7.5
Julio 2019,10.4,-0.2,1.5,4.2,2742,0.3,0.3,9.2
Junio 2019,10.4,0.6,2.8,5.4,2734,-0.1,0.4,10.8
Mayo 2019,10.3,1.1,3.2,5.4,2736,0.1,1.2,12.6
Abril 2019,10.2,1,2.5,4.3,2733,0.4,2.1,14.2
Marzo 2019,10.1,1,1.2,4.9,2723,0.7,2.4,15.6
Febrero 2019,10.0,0.4,0.4,5.8,2705,1,2.7,17
Enero 2019,10.0,-0.2,0.8,7.5,2677,0.7,3.9,18.1
Diciembre 2018,10.0,0.2,0.9,8.9,2658,0.9,4.4,18.4
Noviembre 2018,10.0,0.8,0,10.4,2633,2.2,3.6,18.4
Octubre 2018,9.9,-0.1,-0.6,10.7,2577,1.2,2.6,17.2
Septiembre 2018,9.9,-0.8,0.4,10.8,2546,0.1,3.2,16.8
Agosto 2018,10.0,0.2,1.8,11.6,2542,1.2,4.7,16.8
Julio 2018,9.9,0.9,1.6,12.1,2512,1.8,5,15.3
Junio 2018,9.9,0.7,2.3,12.1,2466,1.5,4.7,14.4
Mayo 2018,9.8,0.1,3.5,12.8,2429,1.6,5.1,13.3
Abril 2018,9.8,1.6,5.5,13.8,2392,1.6,5.5,11.5
Marzo 2018,9.6,1.9,5,13.6,2355,1.9,4.9,9.4
Febrero 2018,9.5,2,4.8,12.7,2311,2,3.9,7.4
Enero 2018,9.3,1.1,3.8,12.4,2266,1,3.1,5.3
Diciembre 2017,9.2,1.7,2.8,12.3,2245,0.9,3,3.9
Noviembre 2017,9.0,1,1,11.8,2224,1.2,2.2,3.4
Octubre 2017,8.9,0.1,0.7,11.1,2198,0.9,0.9,2.8
Septiembre 2017,8.9,-0.1,1.5,11.4,2179,0.1,1.1,2.1
Agosto 2017,8.9,0.7,2.9,11.3,2177,-0.1,1.5,1.4
Julio 2017,8.9,0.9,3.1,11.7,218,1.1,1.6,1.6
Junio 2017,8.8,1.3,3.7,12,2155,0.5,0.1,0.3
Mayo 2017,8.7,0.9,3.4,11.9,2145,0,-0.3,0.1
Abril 2017,8.6,1.4,4.2,11.8,2146,-0.4,-0.3,0.2
Marzo 2017,8.5,1,3.7,11.8,2154,0.1,-0.3,0.2
Febrero 2017,8.4,1.7,4,12.2,2152,0,0,0.3
Enero 2017,8.3,1,2.7,11.7,2152,-0.3,0.6,0.3
Diciembre 2016,8.2,1.2,2,10.9,216,0.3,1.2,0.3
Noviembre 2016,8.1,0.4,0.6,8.7,2152,0.6,0.3,-0.6
Octubre 2016,8.0,0.3,1.2,8.2,2139,0.2,-0.3,-0.9
Septiembre 2016,8.0,-0.1,2.1,7.5,2135,-0.6,-0.7,-0.6
Agosto 2016,8.0,1,3.5,7,2147,0,0.2,0
Julio 2016,7.9,1.2,3.3,6.2,2146,-0.2,0.2,-1.1
Junio 2016,7.9,1.2,3.6,5.9,2149,0.3,0,-1.3
Mayo 2016,7.8,0.9,3.7,5.1,2143,0.1,-0.1,-1.4
Abril 2016,7.7,1.4,4.1,4.5,2141,-0.3,-0.3,-1.2
Marzo 2016,7.6,1.4,2.9,3.8,2148,0.2,-0.2,-0.7
Febrero 2016,7.5,1.2,0.7,3,2144,-0.1,-1,-0.8
Enero 2016,7.4,0.3,-0.5,2.8,2147,-0.3,-0.6,-1
Diciembre 2015,7.4,-0.8,-1.1,2.1,2153,-0.6,0.2,-0.6
Noviembre 2015,7.4,0,-1,2.8,2165,0.3,0.9,-0.4
Octubre 2015,7.4,-0.4,-0.7,3.4,2159,0.5,-0.5,0
Septiembre 2015,7.5,-0.6,0.5,3.7,2148,0.1,-1.4,-0.3
Agosto 2015,7.5,0.3,1.7,3.7,2146,-1.1,-1.2,-0.6
Julio 2015,7.5,0.9,1.7,3.8,2169,-0.4,0,-0.5
Junio 2015,7.4,0.5,1.5,3.4,2178,0.3,0.6,-0.1
Mayo 2015,7.4,0.3,1.6,3.1,2172,0.2,0.5,-0.1
Abril 2015,7.4,0.8,2.4,2.8,2168,0.2,0,-0.4
Marzo 2015,7.3,0.5,1.2,2.2,2164,0.1,-0.1,-1.7
Febrero 2015,7.3,1,0.5,1.8,2161,-0.3,-0.6,-2.7
Enero 2015,7.2,-0.3,0.1,0.8,2169,0.1,0.4,-2.7
Diciembre 2014,7.2,-0.1,0.4,0.5,2167,-0.3,0.6,-2.8
Noviembre 2014,7.2,0.6,-0.1,0.9,2174,0.7,0.6,-2.4
Octubre 2014,7.2,-0.1,-0.4,0.4,2159,0.3,-1,-3.1
Septiembre 2014,7.2,-0.6,0.3,0.3,2153,-0.3,-1.2,-3.5
Agosto 2014,7.2,0.3,1.1,0.1,216,-0.9,-0.7,-3.3
Julio 2014,7.2,0.6,0.7,-0.2,2181,0,0.2,-2.8
Junio 2014,7.2,0.2,0.3,-0.7,2181,0.3,-0.9,-3
Mayo 2014,7.2,0,0.3,-0.8,2174,-0.1,-2.2,-4.4
Abril 2014,7.2,0.2,0.4,-0.9,2177,-1.1,-2.3,-4.5
Marzo 2014,7.1,0.1,-0.5,-1.8,2201,-1,-1.2,-3.6
Febrero 2014,7.1,0.1,-0.4,-3.1,2222,-0.3,-0.3,-2.4
Enero 2014,7.1,-0.7,-0.3,-3.4,223,0,0,-2.5
Diciembre 2013,7.2,0.2,0.1,-4,2229,0,-0.1,-3.7
Noviembre 2013,7.2,0.2,-0.9,-5.6,2228,0,-0.2,-4.5
Octubre 2013,7.1,-0.3,-1,-6.5,2228,-0.1,-0.6,-5.1
Septiembre 2013,7.2,-0.8,-0.7,-7.3,2231,-0.1,-0.7,-5.3
Agosto 2013,7.2,0.1,0.2,-8.1,2233,-0.4,-1.8,-6.5
Julio 2013,7.2,0.1,-0.1,-8.9,2243,-0.2,-1.7,-7.3
Junio 2013,7.2,0.1,-0.9,-8.8,2248,-1.2,-1.5,-8.1
Mayo 2013,7.2,-0.2,-2.1,-9.1,2274,-0.3,-0.1,-7.8
Abril 2013,7.2,-0.7,-2.2,-9.4,2281,-0.1,-0.3,-8
Marzo 2013,7.3,-1.2,-2.7,-9.4,2282,0.2,-1.3,-9
Febrero 2013,7.4,-0.2,-2.9,-8.3,2277,-0.4,-2.4,-9.3
Enero 2013,7.4,-1.3,-3.4,-8.1,2287,-1.1,-2.6,-9.7
Diciembre 2012,7.5,-1.5,-3.3,-7.9,2313,-0.8,-1.8,-9.1
Noviembre 2012,7.6,-0.7,-3.5,-7.3,2333,-0.6,-2.3,-9.2
Octubre 2012,7.6,-1.2,-3.6,-6.7,2348,-0.3,-3,-9
Septiembre 2012,7.7,-1.6,-2.3,-5.6,2356,-1.4,-3.7,-8.9
Agosto 2012,7.9,-0.8,-0.8,-4.9,2389,-1.3,-3.1,-8.1
Julio 2012,7.9,0.1,-0.6,-3.7,242,-1.1,-2.4,-7.8
Junio 2012,7.9,-0.2,-1.4,-2.3,2446,-0.8,-2.5,-7.4
Mayo 2012,7.9,-0.5,-1.3,-0.7,2466,-0.6,-1.9,-6.7
Abril 2012,8.0,-0.7,-0.7,0.5,248,-1.2,-2.1,-6.1
Marzo 2012,8.0,0,-1,1.9,2509,-0.1,-1.5,-5.2
Febrero 2012,8.0,0,-1.9,3.2,2512,-0.8,-2.2,-4.3
Enero 2012,8.0,-1,-1.9,3.1,2533,-0.5,-1.8,-3.7
Diciembre 2011,8.1,-0.9,-1,4.1,2546,-0.9,-1.5,-3.1
Noviembre 2011,8.2,0,-1,4.5,2569,-0.4,-1.2,-2.4
Octubre 2011,8.2,0,-0.5,4.9,2579,-0.2,-1.7,-0.9
Septiembre 2011,8.2,-0.9,1.2,5.4,2585,-0.6,-2.2,0.3
Agosto 2011,8.3,0.5,3.6,5.9,26,-0.9,-1.6,1
Julio 2011,8.2,1.7,3.8,4.4,2624,-0.7,-0.6,1.4
Junio 2011,8.1,1.4,2.8,3.3,2642,0,-0.1,2.1
Mayo 2011,8.0,0.7,2.6,2.5,2642,0.1,0.7,1.9
Abril 2011,7.9,0.7,1.8,2.3,264,-0.2,0.4,2
Marzo 2011,7.9,1.2,1,1.4,2646,0.8,0.7,2.6
Febrero 2011,7.8,-0.2,-0.7,0.6,2624,-0.2,-0.4,2.5
Enero 2011,7.8,0,-0.1,0.9,263,0.1,1,3
Diciembre 2010,7.8,-0.5,0.3,0.6,2628,-0.2,1.9,2.8
Noviembre 2010,7.8,0.4,0.4,0.4,2633,1.2,2.3,2.3
Octubre 2010,7.8,0.4,-1,-0.1,2603,0.9,0.6,1.3
Septiembre 2010,7.8,-0.5,-0.8,-0.5,2578,0.1,-0.3,0.5
Agosto 2010,7.8,-1,0.2,-0.7,2575,-0.5,-0.7,0.3
Julio 2010,7.9,0.7,1.7,0.3,2588,0,0,-0.3
Junio 2010,7.8,0.5,0.8,-1,2587,-0.2,0.4,-0.9
Mayo 2010,7.8,0.5,0.7,-1.8,2594,0.2,1.3,-1.1
Abril 2010,7.8,-0.2,0.4,-2.1,259,0.5,1.4,-2
Marzo 2010,7.8,0.5,0.3,-1.7,2578,0.7,0.8,-2.6
Febrero 2010,7.7,0.1,-1,-2.1,2561,0.3,-0.6,-2.6
Enero 2010,7.7,-0.3,-1.1,-2.5,2553,-0.2,-0.7,-2.7
Diciembre 2009,7.8,-0.8,-0.8,-2.9,2557,-0.7,-0.3,-2.5
Noviembre 2009,7.8,0,-0.7,-3.7,2575,0.2,0.2,-3
Octubre 2009,7.8,0,-0.7,-4.3,2569,0.2,-1,-2.8
Septiembre 2009,7.8,-0.7,-1.3,-5.6,2565,-0.1,-1.8,-3.7
Agosto 2009,7.9,0,-0.9,-6.6,2569,-1,-2.1,-3.8
Julio 2009,7.9,-0.7,-0.7,-8,2596,-0.6,-1.8,-3.9
Junio 2009,7.9,-0.3,0.1,-7.8,2611,-0.5,-1.3,-4.6
Mayo 2009,7.9,0.2,0.5,-7.2,2624,-0.7,-0.2,-4
Abril 2009,7.9,0.2,-0.1,-7.2,2642,-0.2,0.7,-4.3
Marzo 2009,7.9,0.1,-0.9,-8.7,2647,0.7,0.9,-3.7
Febrero 2009,7.9,-0.3,-2.6,-10.4,2628,0.2,-1,-4.1
Enero 2009,7.9,-0.7,-2.9,-8.4,2624,0,-0.8,-4
Diciembre 2008,8.0,-1.6,-3.5,-7.6,2624,-1.1,-1.5,-5.1
Noviembre 2008,8.1,-0.7,-3.6,-7.9,2654,0.4,-0.6,-5.4
Octubre 2008,8.2,-1.2,-4.5,-9,2644,-0.8,-2.1,-4.8
Septiembre 2008,8.3,-1.8,-3.6,-10.2,2665,-0.2,-2.6,-3.2
Agosto 2008,8.4,-1.5,-1.5,-8.7,267,-1.1,-2.3,-3.3
Julio 2008,8.6,-0.4,0.2,-8.2,27,-1.3,-2.1,-3.3
Junio 2008,8.6,0.3,-0.9,-8.2,2736,0.1,-0.4,-1.7
Mayo 2008,8.6,0.2,-3,-8.1,2733,-1,-0.2,-0.8
Abril 2008,8.5,-1.4,-1.4,-7.8,276,0.4,0.9,-0.3
Marzo 2008,8.7,-1.8,0.2,-6.1,2748,0.3,-0.6,-1
Febrero 2008,8.8,1.9,0.1,-2.8,2739,0.2,-2.3,0.4
Enero 2008,8.7,0.2,-3.6,-5.7,2734,-1.1,-1.6,0.1
Diciembre 2007,8.6,-1.9,-6.2,-6.5,2764,-1.4,0.4,2.3
Noviembre 2007,8.8,-1.9,-4.5,-6,2805,1,1.6,2.5
Octubre 2007,9.0,-2.6,-3.7,-4.3,2778,0.9,-0.6,5.8
Septiembre 2007,9.2,-0.1,-1.5,-4.3,2753,-0.2,-1.1,3.2
Agosto 2007,9.2,-1,-1,-5.4,2759,-1.2,0.2,6.5
Julio 2007,9.3,-0.3,0.7,-7,2794,0.4,0.9,7
Junio 2007,9.3,0.4,1.3,-8.1,2783,1,0.3,5.6
Mayo 2007,9.3,0.6,2.6,-5.7,2754,-0.5,0.9,6.1
Abril 2007,9.3,0.3,0.7,-6.4,2769,-0.3,1.4,8.7
Marzo 2007,9.2,1.7,-0.2,-6.5,2776,1.7,2.7,6.2
Febrero 2007,9.1,-1.2,-3.2,-10.3,2729,0,-0.2,-1.3
Enero 2007,9.2,-0.7,-2.1,-9.3,2731,1.1,4,1.8
Diciembre 2006,9.2,-1.4,-3.9,n.d.,2702,-1.2,1.3,n.d.
Noviembre 2006,9.4,-0.1,-3.8,n.d.,2736,4.2,5.6,n.d.
Octubre 2006,9.4,-2.5,-6.4,n.d.,2625,-1.5,0.6,n.d.
Septiembre 2006,9.6,-1.3,-5.4,n.d.,2666,2.9,1.2,n.d.
Agosto 2006,9.8,-2.7,-1.2,n.d.,2591,-0.7,-0.2,n.d.
Julio 2006,10.0,-1.4,1.4,n.d.,261,-0.9,2.5,n.d.
Junio 2006,10.2,3,3.1,n.d.,2634,1.5,0.8,n.d.
Mayo 2006,9.9,-0.1,-2.4,n.d.,2596,1.9,-6.1,n.d.
Abril 2006,9.9,0.2,-2.4,n.d.,2547,-2.6,-5,n.d.
Marzo 2006,9.9,-2.4,n.d.,n.d.,2614,-5.4,n.d.,n.d.
Febrero 2006,10.1,-0.2,n.d.,n.d.,2765,3.1,n.d.,n.d.
Enero 2006,10.1,n.d.,n.d.,n.d.,2682,n.d.,n.d.,n.d.
